Actor;Image;Title;Age
Natalie Portman;1;Lady in the Lake;43
Natalie Portman;2;May December;42
Natalie Portman;3;Annihilation;37
Natalie Portman;4;Lady in the Lake;43
Natalie Portman;5;Natalie Portman & Julianne Moore;42
Natalie Portman;6;May December;42
Natalie Portman;7;May December;42
Natalie Portman;8;May December;42
Natalie Portman;9;May December;42
Natalie Portman;10;May December;42
Natalie Portman;11;Thor: Love and Thunder;41
Natalie Portman;12;Thor: Love and Thunder;41
Natalie Portman;13;Thor: Love and Thunder;41
Natalie Portman;14;Thor: Love and Thunder;41
Natalie Portman;15;Thor: Love and Thunder;41
Natalie Portman;16;Léon;13
Natalie Portman;17;Thor: Love and Thunder;41
Natalie Portman;18;Thor: Love and Thunder;41
Natalie Portman;19;in Tout le monde dit I love you;15
Natalie Portman;20;Tout le monde dit I love you;15
Natalie Portman;21;Tout le monde dit I love you;15
Natalie Portman;22;Tout le monde dit I love you;15
Natalie Portman;23;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;24;Knight of Cups;34
Natalie Portman;25;Knight of Cups;34
Natalie Portman;26;The Beginning: Making 'Episode I';20
Natalie Portman;27;The Beginning: Making 'Episode I';20
Natalie Portman;28;The Beginning: Making 'Episode I';20
Natalie Portman;29;The Beginning: Making 'Episode I';20
Natalie Portman;30;Beautiful Girls;15
Natalie Portman;31;Beautiful Girls;15
Natalie Portman;32;Beautiful Girls;15
Natalie Portman;33;Beautiful Girls;15
Natalie Portman;34;Lucy in the Sky;38
Natalie Portman;35;Lucy in the Sky;38
Natalie Portman;36;Jackie;35
Natalie Portman;37;Jackie;35
Natalie Portman;38;'Black Widow';38
Natalie Portman;39;Saturday Night Live: Cut for Time;32
Natalie Portman;40;The Late Show with Stephen Colbert;34
Natalie Portman;41;in Vox Lux;37
Natalie Portman;42;Vox Lux;37
Natalie Portman;43;Vox Lux;37
Natalie Portman;44;Vox Lux;37
Natalie Portman;45;Vox Lux;37
Natalie Portman;46;Vox Lux;37
Natalie Portman;47;Casting Calls;37
Natalie Portman;48;Vox Lux;37
Natalie Portman;49;Mars Attacks!;15
Natalie Portman;50;Mars Attacks!;15
Natalie Portman;51;Mars Attacks!;15
Natalie Portman;52;Mars Attacks!;15
Natalie Portman;53;Mars Attacks!;15
Natalie Portman;54;Annihilation;37
Natalie Portman;55;Annihilation;37
Natalie Portman;56;Annihilation;37
Natalie Portman;57;Annihilation;37
Natalie Portman;58;Annihilation;37
Natalie Portman;59;Annihilation;37
