Actor;Image;Title;Age
Brad Pitt;9;Wolfs;61
Brad Pitt;11;Wolfs;61
Brad Pitt;17;Chanel Fall-Winter 2024/25 Ready-To-Wear Show - a Cinematic Story - Chanel Shows;61
Brad Pitt;18;Chanel Fall-Winter 2024/25 Ready-To-Wear Show - a Cinematic Story - Chanel Shows;61
Brad Pitt;23;Troie;41
Brad Pitt;26;Babylon;59
Brad Pitt;31;Troie;41
Brad Pitt;53;Sept ans au Tibet;34
Brad Pitt;58;Sept ans au Tibet;34
Brad Pitt;70;21 Jump Street;24
Brad Pitt;74;Once Upon a Time in... Hollywood;56
Brad Pitt;75;Once Upon a Time in... Hollywood;56
Brad Pitt;85;Once Upon a Time in... Hollywood;56
Brad Pitt;90;Ad Astra;56
Brad Pitt;95;Ad Astra;56
Brad Pitt;96;Once Upon a Time in... Hollywood;56
Brad Pitt;97;Once Upon a Time in... Hollywood;56
Brad Pitt;111;Fight Club;36
Brad Pitt;112;Fight Club;36
Brad Pitt;118;Once Upon a Time in... Hollywood;56
Brad Pitt;120;Ad Astra;56
Brad Pitt;128;Ad Astra;56
Brad Pitt;129;Ad Astra;56
Brad Pitt;132;Once Upon a Time in... Hollywood;56
Brad Pitt;134;Once Upon a Time in... Hollywood;56
Brad Pitt;146;Once Upon a Time in... Hollywood;56
Brad Pitt;150;Troie;41
Brad Pitt;155;Fight Club;36
Brad Pitt;157;Fight Club;36
Brad Pitt;169;Vue sur mer;52
Brad Pitt;179;Cogan: Killing Them Softly;49
Brad Pitt;184;Le stratège;48
Brad Pitt;186;Fury;51
Brad Pitt;191;12 Years a Slave;50
Brad Pitt;206;Légendes d'automne;31
Brad Pitt;207;Légendes d'automne;31
Brad Pitt;213;Between Two Ferns with Zach Galifianakis;45
Brad Pitt;216;War Machine;54
Brad Pitt;227;Le stratège;48
Brad Pitt;228;Le stratège;48
Brad Pitt;229;Le stratège;48
Brad Pitt;235;Le stratège;48
Brad Pitt;239;Le stratège;48
Brad Pitt;241;War Machine;54
Brad Pitt;242;Inglourious Basterds;46
Brad Pitt;246;Fight Club;36
Brad Pitt;248;L'Étrange Histoire de Benjamin Button;45
Brad Pitt;249;Cartel;50
Brad Pitt;252;Légendes d'automne;31
Brad Pitt;255;Légendes d'automne;31
Brad Pitt;257;Ennemis rapprochés;34
Brad Pitt;258;Ennemis rapprochés;34
Brad Pitt;261;Trop jeune pour mourir;27
Brad Pitt;262;Trop jeune pour mourir;27
Brad Pitt;263;21 Jump Street;24
Brad Pitt;268;Fight Club;36
Brad Pitt;269;Fight Club;36
Brad Pitt;288;Et au milieu coule une rivière;29
Brad Pitt;295;Alliés;53
Brad Pitt;302;Alliés;53
Brad Pitt;320;Alliés;53
Brad Pitt;325;Conan;47
Brad Pitt;326;Conan;47
Brad Pitt;328;Inglourious Basterds;46
Brad Pitt;329;Conan;47
Brad Pitt;331;Alliés;53
Brad Pitt;335;Alliés;53
Brad Pitt;337;Vue sur mer;52
Brad Pitt;342;Le stratège;48
Brad Pitt;348;Seven;32
Brad Pitt;349;Seven;32
Brad Pitt;351;Fight Club;36
Brad Pitt;356;Cartel;50
Brad Pitt;357;Légendes d'automne;31
Brad Pitt;358;Légendes d'automne;31
Brad Pitt;360;Légendes d'automne;31
Brad Pitt;361;Légendes d'automne;31
Brad Pitt;368;Friends;31
Brad Pitt;379;Fury;51
Brad Pitt;387;Charlie Rose;28
Brad Pitt;393;Rencontre avec Joe Black;35
