Actor;Image;Title;Age
Natalie Portman;1;Lady in the Lake;43
Natalie Portman;14;Thor: Love and Thunder;41
Natalie Portman;16;Léon;13
Natalie Portman;31;Beautiful Girls;15
Natalie Portman;32;Beautiful Girls;15
Natalie Portman;45;Vox Lux;37
Natalie Portman;48;Vox Lux;37
Natalie Portman;52;Mars Attacks!;15
Natalie Portman;53;Mars Attacks!;15
Natalie Portman;54;Annihilation;37
Natalie Portman;55;Annihilation;37
Natalie Portman;70;Closer, entre adultes consentants;23
Natalie Portman;71;Closer, entre adultes consentants;23
Natalie Portman;77;Les fantômes de Goya;25
Natalie Portman;78;Les fantômes de Goya;25
Natalie Portman;81;Annihilation;37
Natalie Portman;85;Star Wars, épisode III : La Revanche des Sith;24
Natalie Portman;87;Annihilation;37
Natalie Portman;93;Annihilation;37
Natalie Portman;94;Annihilation;37
Natalie Portman;98;Annihilation;37
Natalie Portman;99;Annihilation;37
Natalie Portman;103;The Tonight Show Starring Jimmy Fallon;33
Natalie Portman;105;Thor : Le Monde des ténèbres;32
Natalie Portman;107;Thor : Le Monde des ténèbres;32
Natalie Portman;109;Star Wars, épisode I : La Menace fantôme;18
Natalie Portman;111;Jackie;35
Natalie Portman;116;Jackie;35
Natalie Portman;117;Jackie;35
Natalie Portman;122;Jackie;35
Natalie Portman;126;Jackie;35
Natalie Portman;128;Jackie;35
Natalie Portman;134;Jackie;35
Natalie Portman;135;Jackie;35
Natalie Portman;136;Jackie;35
Natalie Portman;139;Thor;30
Natalie Portman;141;Thor;30
Natalie Portman;143;Thor;30
Natalie Portman;146;Thor : Le Monde des ténèbres;32
Natalie Portman;147;Thor : Le Monde des ténèbres;32
Natalie Portman;151;Song to Song;36
Natalie Portman;153;Léon;13
Natalie Portman;157;Léon;13
Natalie Portman;159;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;172;Jackie;35
Natalie Portman;173;Jackie;35
Natalie Portman;176;Jackie;35
Natalie Portman;179;Jackie;35
Natalie Portman;180;Jackie;35
Natalie Portman;183;Jackie;35
Natalie Portman;188;Jackie;35
Natalie Portman;189;Jackie;35
Natalie Portman;195;Black Swan;29
Natalie Portman;198;Black Swan;29
Natalie Portman;203;Black Swan;29
Natalie Portman;205;Black Swan;29
Natalie Portman;211;Conan;29
Natalie Portman;215;Léon;13
Natalie Portman;218;Léon;13
Natalie Portman;219;Léon;13
Natalie Portman;222;Léon;13
Natalie Portman;227;Jackie;35
Natalie Portman;229;Jackie;35
Natalie Portman;235;V pour Vendetta;24
Natalie Portman;238;Planétarium;35
Natalie Portman;244;Une histoire d'amour et de ténèbres;34
Natalie Portman;248;Une histoire d'amour et de ténèbres;34
Natalie Portman;250;Deux Surs pour un roi;27
Natalie Portman;262;Closer, entre adultes consentants;23
Natalie Portman;272;Une histoire d'amour et de ténèbres;34
Natalie Portman;274;Une histoire d'amour et de ténèbres;34
Natalie Portman;275;Une histoire d'amour et de ténèbres;34
Natalie Portman;284;Thor;30
Natalie Portman;287;Thor;30
Natalie Portman;290;Le Merveilleux Magasin de Mr. Magorium;26
Natalie Portman;292;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;294;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;295;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;296;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;299;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;300;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;301;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;304;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;305;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;307;Star Wars, épisode II : L'Attaque des clones;21
Natalie Portman;311;Star Wars, épisode III : La Revanche des Sith;24
Natalie Portman;315;Star Wars, épisode III : La Revanche des Sith;24
Natalie Portman;321;Star Wars, épisode III : La Revanche des Sith;24
Natalie Portman;322;Star Wars, épisode III : La Revanche des Sith;24
Natalie Portman;324;Star Wars, épisode III : La Revanche des Sith;24
Natalie Portman;326;Star Wars, épisode III : La Revanche des Sith;24
