Actor;Image;Title;Age
Tom Cruise;1;Mission Impossible : Dead Reckoning, Partie 2;63
Tom Cruise;2;Mission Impossible : Dead Reckoning, Partie 2;63
Tom Cruise;3;Mission Impossible : Dead Reckoning, Partie 2;63
Tom Cruise;4;Mission Impossible : Dead Reckoning, Partie 2;63
Tom Cruise;5;Mission Impossible : Dead Reckoning, Partie 2;63
Tom Cruise;6;Mission Impossible : Dead Reckoning, Partie 2;63
Tom Cruise;7;Mission Impossible : Dead Reckoning, Partie 2;63
Tom Cruise;8;Rain Man;26
Tom Cruise;9;Mission: Impossible - Fallout;56
Tom Cruise;10;Brats;62
Tom Cruise;11;Brats;62
Tom Cruise;12;Eyes Wide Shut;37
Tom Cruise;13;Top Gun;24
Tom Cruise;14;Mission: Impossible - Fallout;56
Tom Cruise;15;Mission : Impossible - Dead Reckoning, partie 1;61
Tom Cruise;16;Mission : Impossible - Dead Reckoning, partie 1;61
Tom Cruise;17;Mission : Impossible - Dead Reckoning, partie 1;61
Tom Cruise;18;Mission : Impossible - Dead Reckoning, partie 1;61
Tom Cruise;19;Mission : Impossible - Dead Reckoning, partie 1;61
Tom Cruise;21;Pretty Baby: Brooke Shields;61
Tom Cruise;22;Top Gun;24
Tom Cruise;23;Un amour infini...;19
Tom Cruise;24;Un amour infini...;19
Tom Cruise;25;Un amour infini...;19
Tom Cruise;26;Top Gun: Maverick;60
Tom Cruise;27;Top Gun: Maverick;60
Tom Cruise;28;Top Gun: Maverick;60
Tom Cruise;29;Top Gun: Maverick;60
Tom Cruise;30;Rain Man;26
Tom Cruise;31;Né un 4 juillet;27
Tom Cruise;32;Taps;19
Tom Cruise;34;Top Gun: Maverick;60
Tom Cruise;35;Top Gun: Maverick;60
Tom Cruise;36;Top Gun: Maverick;60
Tom Cruise;37;Tom Cruise;57
Tom Cruise;38;Tom Cruise;57
Tom Cruise;39;Tom Cruise;57
Tom Cruise;40;Tom Cruise;57
Tom Cruise;41;Top Gun;24
Tom Cruise;42;Top Gun;24
Tom Cruise;43;Né un 4 juillet;27
Tom Cruise;44;Vanilla Sky;39
Tom Cruise;45;Vanilla Sky;39
Tom Cruise;46;Vanilla Sky;39
Tom Cruise;47;Vanilla Sky;39
Tom Cruise;48;Vanilla Sky;39
Tom Cruise;49;Vanilla Sky;39
Tom Cruise;50;Vanilla Sky;39
Tom Cruise;51;Mission: Impossible - Fallout;56
Tom Cruise;52;Mission: Impossible - Fallout;56
Tom Cruise;53;The IMDb Show;55
Tom Cruise;54;La Momie;55
Tom Cruise;55;La Momie;55
Tom Cruise;56;La Momie;55
Tom Cruise;57;La Momie;55
Tom Cruise;58;La Momie;55
Tom Cruise;59;La Momie;55
Tom Cruise;60;La Momie;55
Tom Cruise;61;La Momie;55
Tom Cruise;62;La Momie;55
Tom Cruise;63;La Momie;55
Tom Cruise;64;La Momie;55
Tom Cruise;65;La Momie;55
Tom Cruise;66;La Momie;55
Tom Cruise;67;La Momie;55
Tom Cruise;68;La Momie;55
Tom Cruise;69;La Momie;55
Tom Cruise;70;La Momie;55
Tom Cruise;71;No Small Parts;52
Tom Cruise;72;The IMDb Show;55
Tom Cruise;73;Rain Man;26
Tom Cruise;74;Walkyrie;46
Tom Cruise;75;Hoffman, and Kim Robillard in Rain Man;26
