Actor;Image;Title;Age
Tom Cruise;5;Mission Impossible : Dead Reckoning, Partie 2;63
Tom Cruise;7;Mission Impossible : Dead Reckoning, Partie 2;63
Tom Cruise;8;Rain Man;26
Tom Cruise;13;Top Gun;24
Tom Cruise;24;Un amour infini...;19
Tom Cruise;31;Né un 4 juillet;27
Tom Cruise;38;Tom Cruise;57
Tom Cruise;40;Tom Cruise;57
Tom Cruise;44;Vanilla Sky;39
Tom Cruise;46;Vanilla Sky;39
Tom Cruise;61;La Momie;55
Tom Cruise;62;La Momie;55
Tom Cruise;71;No Small Parts;52
Tom Cruise;77;Taps;19
Tom Cruise;79;Taps;19
Tom Cruise;86;Taps;19
Tom Cruise;87;Edge of Tomorrow;52
Tom Cruise;90;Edge of Tomorrow;52
Tom Cruise;91;Edge of Tomorrow;52
Tom Cruise;93;Edge of Tomorrow;52
Tom Cruise;95;Edge of Tomorrow;52
Tom Cruise;96;Edge of Tomorrow;52
Tom Cruise;100;Edge of Tomorrow;52
Tom Cruise;105;Edge of Tomorrow;52
Tom Cruise;108;Top Gun;24
Tom Cruise;110;Outsiders;21
Tom Cruise;117;Outsiders;21
Tom Cruise;119;Outsiders;21
Tom Cruise;125;Mission: Impossible;34
Tom Cruise;126;Mission: Impossible;34
Tom Cruise;128;Mission: Impossible 2;38
Tom Cruise;131;Mission: Impossible 2;38
Tom Cruise;132;Mission: Impossible;34
Tom Cruise;134;Mission: Impossible;34
Tom Cruise;141;Mission: Impossible;34
Tom Cruise;145;Mission: Impossible - Fallout;56
Tom Cruise;155;Mission: Impossible - Rogue Nation;53
Tom Cruise;157;Mission: Impossible - Rogue Nation;53
Tom Cruise;159;Mission: Impossible - Rogue Nation;53
Tom Cruise;168;Mission: Impossible III;44
Tom Cruise;174;Mission: Impossible 2;38
Tom Cruise;175;Mission: Impossible 2;38
Tom Cruise;177;Mission: Impossible 2;38
Tom Cruise;181;Mission: Impossible - Fallout;56
Tom Cruise;182;Mission: Impossible - Fallout;56
Tom Cruise;189;Risky Business;21
Tom Cruise;192;Le Dernier Samouraï;41
Tom Cruise;193;Le Dernier Samouraï;41
Tom Cruise;197;Barry Seal: American Traffic;55
Tom Cruise;198;Barry Seal: American Traffic;55
Tom Cruise;215;Oblivion;51
Tom Cruise;218;Legend;23
Tom Cruise;232;Top Gun;24
Tom Cruise;233;La firme;31
Tom Cruise;246;Farrell in Minority Report;40
Tom Cruise;251;Minority Report;40
Tom Cruise;254;Minority Report;40
Tom Cruise;256;Farrell in Minority Report;40
Tom Cruise;261;Minority Report;40
Tom Cruise;262;Magnolia;37
Tom Cruise;263;Magnolia;37
Tom Cruise;264;Magnolia;37
Tom Cruise;265;Magnolia;37
Tom Cruise;269;Magnolia;37
Tom Cruise;271;Magnolia;37
Tom Cruise;277;Collatéral;42
Tom Cruise;282;Collatéral;42
Tom Cruise;283;Collatéral;42
Tom Cruise;284;Collatéral;42
Tom Cruise;285;Collatéral;42
Tom Cruise;286;Collatéral;42
Tom Cruise;288;Collatéral;42
Tom Cruise;290;Collatéral;42
Tom Cruise;293;Jerry Maguire;34
Tom Cruise;298;La Momie;55
Tom Cruise;316;Jerry Maguire;34
